key;nl;fr;en;de;es;pl;pt;tr;el
about.shared;Foto’s met de vermelding ‘{role}’ gelden voor alle kleuren van die reeks en staan daarom in de map van elke kleur.;Les photos marquées « {role} » valent pour toutes les couleurs de cette série et figurent donc dans le dossier de chaque couleur.;Photos marked ‘{role}’ apply to every colour of that series and therefore appear in the folder of each colour.;Fotos mit dem Vermerk „{role}“ gelten für alle Farben dieser Serie und liegen deshalb im Ordner jeder Farbe.;Las fotos marcadas como «{role}» sirven para todos los colores de esa serie y por eso aparecen en la carpeta de cada color.;Zdjęcia oznaczone jako „{role}” dotyczą wszystkich kolorów tej serii, dlatego znajdują się w folderze każdego koloru.;As fotografias marcadas como «{role}» aplicam-se a todas as cores dessa série e por isso aparecem na pasta de cada cor.;‘{role}’ olarak işaretlenen fotoğraflar o serinin tüm renkleri için geçerlidir ve bu nedenle her rengin klasöründe yer alır.;Οι φωτογραφίες με την ένδειξη «{role}» ισχύουν για όλα τα χρώματα της σειράς και γι’ αυτό βρίσκονται στον φάκελο κάθε χρώματος.
about.noFolder;Producten zonder foto’s staan wel in dit overzicht, maar krijgen geen map.;Les produits sans photo figurent dans cet aperçu, mais n’ont pas de dossier.;Products without photos are listed in this overview but have no folder.;Produkte ohne Fotos stehen in dieser Übersicht, haben aber keinen Ordner.;Los productos sin fotos aparecen en este resumen, pero no tienen carpeta.;Produkty bez zdjęć są wymienione w tym przeglądzie, ale nie mają folderu.;Os produtos sem fotografias constam deste resumo, mas não têm pasta.;Fotoğrafı olmayan ürünler bu listede yer alır ancak klasörleri yoktur.;Τα προϊόντα χωρίς φωτογραφίες αναφέρονται σε αυτή την επισκόπηση, αλλά δεν έχουν φάκελο.
about.noPrices;Deze export bevat geen prijzen.;Cet export ne contient aucun prix.;This export contains no prices.;Dieser Export enthält keine Preise.;Esta exportación no incluye precios.;Ten eksport nie zawiera cen.;Esta exportação não inclui preços.;Bu dışa aktarma fiyat içermez.;Αυτή η εξαγωγή δεν περιέχει τιμές.
productsHeading;Overzicht per product;Aperçu par produit;Overview per product;Übersicht pro Produkt;Resumen por producto;Przegląd według produktów;Resumo por produto;Ürün bazında genel bakış;Επισκόπηση ανά προϊόν
field.folder;Map;Dossier;Folder;Ordner;Carpeta;Folder;Pasta;Klasör;Φάκελος
field.sku;SKU;SKU;SKU;SKU;SKU;SKU;SKU;SKU;SKU
field.name;Naam;Nom;Name;Name;Nombre;Nazwa;Nome;Ad;Όνομα
field.colour;Kleur;Couleur;Colour;Farbe;Color;Kolor;Cor;Renk;Χρώμα
field.size;Maat;Taille;Size;Größe;Tamaño;Rozmiar;Tamanho;Boyut;Μέγεθος
field.series;Reeks;Série;Series;Serie;Serie;Seria;Série;Seri;Σειρά
field.category;Categorie;Catégorie;Category;Kategorie;Categoría;Kategoria;Categoria;Kategori;Κατηγορία
field.dimensions;Afmetingen product (B × D × H);Dimensions du produit (L × P × H);Product dimensions (W × D × H);Produktmaße (B × T × H);Medidas del producto (an. × prof. × al.);Wymiary produktu (szer. × gł. × wys.);Dimensões do produto (L × P × A);Ürün ölçüleri (G × D × Y);Διαστάσεις προϊόντος (Π × Β × Υ)
field.weight;Gewicht per stuk;Poids par pièce;Weight per piece;Gewicht pro Stück;Peso por unidad;Waga sztuki;Peso por unidade;Adet başına ağırlık;Βάρος ανά τεμάχιο
field.packaging;Verpakking;Emballage;Packaging;Verpackung;Embalaje;Opakowanie;Embalagem;Ambalaj;Συσκευασία
field.packagingEan;EAN verpakking;EAN de l’emballage;Packaging EAN;EAN der Verpackung;EAN del embalaje;EAN opakowania;EAN da embalagem;Ambalaj EAN kodu;EAN συσκευασίας
field.cartonContents;Inhoud omdoos;Contenu du carton;Carton contents;Inhalt Umkarton;Contenido de la caja;Zawartość kartonu;Conteúdo da caixa;Koli içeriği;Περιεχόμενο κιβωτίου
field.cartonDimensions;Afmetingen omdoos (B × D × H);Dimensions du carton (L × P × H);Carton dimensions (W × D × H);Maße Umkarton (B × T × H);Medidas de la caja (an. × prof. × al.);Wymiary kartonu (szer. × gł. × wys.);Dimensões da caixa (L × P × A);Koli ölçüleri (G × D × Y);Διαστάσεις κιβωτίου (Π × Β × Υ)
field.cartonWeight;Gewicht omdoos;Poids du carton;Carton weight;Gewicht Umkarton;Peso de la caja;Waga kartonu;Peso da caixa;Koli ağırlığı;Βάρος κιβωτίου
field.ean;EAN (stuk);EAN (pièce);EAN (piece);EAN (Stück);EAN (unidad);EAN (sztuka);EAN (unidade);EAN (adet);EAN (τεμάχιο)
field.itf;ITF-14 (omdoos);ITF-14 (carton);ITF-14 (carton);ITF-14 (Umkarton);ITF-14 (caja);ITF-14 (karton);ITF-14 (caixa);ITF-14 (koli);ITF-14 (κιβώτιο)
field.files;Bestanden;Fichiers;Files;Dateien;Archivos;Pliki;Ficheiros;Dosyalar;Αρχεία
packaging.giftBox;Geschenkdoos;Coffret cadeau;Gift box;Geschenkbox;Caja de regalo;Pudełko prezentowe;Caixa de oferta;Hediye kutusu;Κουτί δώρου
packaging.display;Display;Présentoir;Display;Display;Expositor;Display;Expositor;Teşhir kutusu;Σταντ
packaging.displayOf;Display met {count} stuks;Présentoir de {count} pièces;Display of {count} pieces;Display mit {count} Stück;Expositor de {count} unidades;Display z {count} sztukami;Expositor com {count} unidades;{count} adetlik teşhir kutusu;Σταντ με {count} τεμάχια
carton.pieces;{count} stuks per omdoos;{count} pièces par carton;{count} pieces per carton;{count} Stück pro Umkarton;{count} unidades por caja;{count} szt. w kartonie;{count} unidades por caixa;Koli başına {count} adet;{count} τεμάχια ανά κιβώτιο
carton.displays;{count} displays per omdoos ({pieces} stuks);{count} présentoirs par carton ({pieces} pièces);{count} displays per carton ({pieces} pieces);{count} Displays pro Umkarton ({pieces} Stück);{count} expositores por caja ({pieces} unidades);{count} displayów w kartonie ({pieces} szt.);{count} expositores por caixa ({pieces} unidades);Koli başına {count} teşhir kutusu ({pieces} adet);{count} σταντ ανά κιβώτιο ({pieces} τεμάχια)
carton.onePiece;1 stuk per omdoos;1 pièce par carton;1 piece per carton;1 Stück pro Umkarton;1 unidad por caja;1 szt. w kartonie;1 unidade por caixa;Koli başına 1 adet;1 τεμάχιο ανά κιβώτιο
carton.oneDisplay;1 display per omdoos ({pieces} stuks);1 présentoir par carton ({pieces} pièces);1 display per carton ({pieces} pieces);1 Display pro Umkarton ({pieces} Stück);1 expositor por caja ({pieces} unidades);1 display w kartonie ({pieces} szt.);1 expositor por caixa ({pieces} unidades);Koli başına 1 teşhir kutusu ({pieces} adet);1 σταντ ανά κιβώτιο ({pieces} τεμάχια)
role.lead;Hoofdfoto;Photo principale;Main photo;Hauptfoto;Foto principal;Zdjęcie główne;Fotografia principal;Ana fotoğraf;Κύρια φωτογραφία
role.website;Op de website;Sur le site web;On the website;Auf der Website;En la web;Na stronie internetowej;No site;Web sitesinde;Στον ιστότοπο
role.variant;Alleen deze kleur;Uniquement cette couleur;This colour only;Nur diese Farbe;Solo este color;Tylko ten kolor;Apenas esta cor;Yalnızca bu renk;Μόνο αυτό το χρώμα
role.series;Alle kleuren van de reeks;Toutes les couleurs de la série;All colours in the series;Alle Farben der Serie;Todos los colores de la serie;Wszystkie kolory serii;Todas as cores da série;Serinin tüm renkleri;Όλα τα χρώματα της σειράς
role.product;Losse productfoto;Photo propre au produit;Individual product photo;Einzelnes Produktfoto;Foto propia del producto;Osobne zdjęcie produktu;Fotografia própria do produto;Ürüne özel fotoğraf;Μεμονωμένη φωτογραφία προϊόντος
noPhotos;geen foto’s;aucune photo;no photos;keine Fotos;sin fotos;brak zdjęć;sem fotografias;fotoğraf yok;καμία φωτογραφία
file.original;origineel bestand;fichier d’origine;original file;Originaldatei;archivo original;plik oryginalny;ficheiro original;orijinal dosya;αρχικό αρχείο
