"key";"label";"required";"nl";"fr";"en";"de";"es";"pl";"pt";"tr"
"a11y.mainNavigation";"Toegankelijkheid · Hoofdnavigatie";"true";"Hoofdnavigatie";"Navigation principale";"Main navigation";"Hauptnavigation";"Navegación principal";"Główna nawigacja";"Navegação principal";"Ana gezinme"
"a11y.mobileNavigation";"Toegankelijkheid · Mobiele navigatie";"true";"Mobiele navigatie";"Navigation mobile";"Mobile navigation";"Mobile Navigation";"Navegación móvil";"Nawigacja mobilna";"Navegação móvel";"Mobil navigasyon"
"a11y.mainMenu";"Toegankelijkheid · Hoofdmenu";"true";"Hoofdmenu";"Menu principal";"Main menu";"Hauptmenü";"Menú principal";"Menu główne";"Menu principal";"Ana menü"
"a11y.openNavigation";"Toegankelijkheid · Navigatie openen";"true";"Hoofdmenu";"Menu principal";"Main menu";"Hauptmenü";"Menú principal";"Menu główne";"Menu principal";"Ana menü"
"a11y.closeNavigation";"Toegankelijkheid · Navigatie sluiten";"true";"Navigatiemenu sluiten";"Fermer le menu de navigation";"Close navigation menu";"Navigationsmenü schließen";"Cerrar menú de navegación";"Zamknij menu nawigacyjne";"Fechar menu de navegação";"Gezinme menüsünü kapat"
"a11y.productCategories";"Toegankelijkheid · Productcategorieën";"true";"Productcategorieën";"Catégories de produits";"Product categories";"Produktkategorien";"Categorías de productos";"Kategorie produktów";"Categorias de produtos";"Ürün kategorileri"
"a11y.breadcrumb";"Toegankelijkheid · Broodkruimel";"true";"Broodkruimelnavigatie";"Fil d’Ariane";"Breadcrumb";"Brotkrümelnavigation";"Ruta de navegación";"Nawigacja okruszkowa";"Caminho de navegação";"Sayfa yolu"
"a11y.legalAndPrivacy";"Toegankelijkheid · Juridisch en privacy";"true";"Juridisch en privacy";"Mentions légales et confidentialité";"Legal and privacy";"Rechtliches und Datenschutz";"Legal y privacidad";"Informacje prawne i prywatność";"Legal e privacidade";"Yasal bilgiler ve gizlilik"
"a11y.languageSwitcher";"Toegankelijkheid · Taalwisselaar";"true";"Taal kiezen";"Choisir la langue";"Choose language";"Wählen Sie die Sprache";"Elige idioma";"Wybierz język";"Escolha o idioma";"Dil seçin"
"a11y.currentLanguage";"Toegankelijkheid · Huidige taal";"true";"{language}, huidige taal";"{language}, langue actuelle";"{language}, current language";"{language}, aktuelle Sprache";"{language}, idioma actual";"{language}, bieżący język";"{language}, idioma atual";"{language}, mevcut dil"
"a11y.productCount";"Toegankelijkheid · Productaantal";"true";"Aantal producten: {count}";"Nombre de produits : {count}";"{count} products";"Anzahl der Produkte: {count}";"Número de productos: {count}";"Liczba produktów: {count}";"Número de produtos: {count}";"Ürün sayısı: {count}"
"a11y.categoryProductList";"Toegankelijkheid · Productlijst per categorie";"true";"{category} producten";"Produits {category}";"{category} products";"{category} Produkte";"{category} productos";"Produkty {category}";"Produtos {category}";"{category} ürünleri"
"a11y.viewProduct";"Toegankelijkheid · Product bekijken";"true";"Bekijk {product} productdetails";"Voir les détails du produit {product}";"View {product} product details";"Produktdetails zu {product} anzeigen";"Ver los detalles del producto {product}";"Wyświetl szczegóły produktu {product}";"Ver detalhes do produto {product}";"{product} ürün ayrıntılarını görüntüleyin"
"language.en";"Taalnamen · Engels";"true";"English";"English";"English";"English";"English";"English";"English";"English"
"language.nl";"Taalnamen · Nederlands";"true";"Nederlands";"Nederlands";"Nederlands";"Nederlands";"Nederlands";"Nederlands";"Nederlands";"Nederlands"
"language.fr";"Taalnamen · Frans";"true";"Français";"Français";"Français";"Français";"Français";"Français";"Français";"Français"
"language.de";"Taalnamen · Duits";"true";"Deutsch";"Deutsch";"Deutsch";"Deutsch";"Deutsch";"Deutsch";"Deutsch";"Deutsch"
"language.es";"Taalnamen · Spaans";"true";"Español";"Español";"Español";"Español";"Español";"Español";"Español";"Español"
"language.pl";"Taalnamen · Pools";"true";"Polski";"Polski";"Polski";"Polski";"Polski";"Polski";"Polski";"Polski"
"language.pt";"Taalnamen · Portugees";"true";"Português";"Português";"Português";"Português";"Português";"Português";"Português";"Português"
"language.tr";"Taalnamen · Turks";"true";"Türkçe";"Türkçe";"Türkçe";"Türkçe";"Türkçe";"Türkçe";"Türkçe";"Türkçe"
"common.home";"Algemeen · Homepage";"true";"Thuis";"Accueil";"Home";"Startseite";"Inicio";"Strona główna";"Página inicial";"Ana Sayfa"
"common.products";"Algemeen · Producten";"true";"Producten";"Produits";"Products";"Produkte";"Productos";"Produkty";"Produtos";"Ürünler"
"common.allProducts";"Algemeen · Alle producten";"true";"Alle producten";"Tous les produits";"All products";"Alle Produkte";"Todos los productos";"Wszystkie produkty";"Todos os produtos";"Tüm ürünler"
"common.requestQuote";"Algemeen · Offerte aanvragen";"true";"Vraag een offerte aan";"Demander un devis";"Request a quote";"Fordern Sie ein Angebot an";"Solicitar presupuesto";"Poproś o wycenę";"Pedir orçamento";"Fiyat teklifi isteyin"
"common.requestTradeQuote";"Algemeen · Handelsofferte aanvragen";"true";"Vraag een handelsofferte aan";"Demander un devis commercial";"Request a trade quote";"Fordern Sie ein Handelsangebot an";"Solicitar un presupuesto comercial";"Poproś o wycenę handlową";"Pedir proposta comercial";"Ticari fiyat teklifi isteyin"
"common.viewProduct";"Algemeen · Product bekijken";"true";"Bekijk product";"Voir le produit";"View product";"Produkt anzeigen";"Ver producto";"Zobacz produkt";"Ver produto";"Ürünü göster"
"common.viewCollection";"Algemeen · Collectie bekijken";"true";"Bekijk de collectie";"Voir la collection";"View the collection";"Sehen Sie sich die Sammlung an";"Ver la colección";"Zobacz kolekcję";"Ver coleção";"Koleksiyonu görüntüle"
"common.tradeWholesale";"Algemeen · Handel en groothandel";"true";"Handel en groothandel";"Commerce et vente en gros";"Trade & wholesale";"Handel & Großhandel";"Comercio y venta al por mayor";"Handel i sprzedaż hurtowa";"Comércio e venda por grosso";"Ticaret ve toptan satış"
"header.productCollections";"Header · Productcollecties";"true";"Productcollecties";"Collections de produits";"Product collections";"Produktkollektionen";"Colecciones de productos";"Kolekcje produktów";"Coleções de produtos";"Ürün koleksiyonları"
"header.tradeFaq";"Header · Veelgestelde handelsvragen";"true";"Veelgestelde vragen over handel";"FAQ commerciale";"Trade FAQ";"Trade-FAQ";"Preguntas frecuentes sobre el comercio";"Często zadawane pytania dotyczące handlu";"Perguntas frequentes para profissionais";"Ticaret SSS"
"header.legalInformation";"Header · Juridische informatie";"true";"Juridisch & informatie";"Mentions légales & informations";"Legal & information";"Rechtliches & Informationen";"Legal e información";"Informacje prawne";"Informação legal";"Yasal bilgiler"
"header.menu";"Header · Menu";"true";"Menu";"Menu";"Menu";"Menü";"Menú";"Menu";"Menu";"Menü"
"header.quoteShort";"Header · korte offerteknop";"true";"Offerte";"Devis";"Quote";"Angebot";"Presupuesto";"Wycena";"Orçamento";"Teklif"
"footer.homeAria";"Footer · toegankelijkheidslabel voor link naar homepage";"true";"Homepage van Enrosed";"Accueil Enrosed";"Enrosed home";"Enrosed Startseite";"Inicio de Enrosed";"Strona główna Enrosed";"Página inicial da Enrosed";"Enrosed ana sayfası"
"footer.tagline";"Footer · Slogan";"true";"Gepreserveerde rozen en retaildisplays voor groothandel.";"Roses préservées et présentoirs retail pour les professionnels.";"Preserved roses and retail displays for wholesale.";"Konservierte Rosen und Verkaufsdisplays für den Großhandel.";"Rosas preservadas y expositores retail para mayoristas.";"Róże stabilizowane i ekspozytory detaliczne dla hurtowni.";"Rosas preservadas e expositores de retalho para grossistas.";"Toptan satış için korunmuş güller ve perakende stantları."
"footer.quoteEmailSubject";"Footer · offerte e-mailonderwerp";"true";"Groothandel offerteaanvraag";"Demande de devis en gros";"Wholesale quote request";"Angebotsanfrage für den Großhandel";"Solicitud de presupuesto al por mayor";"Zapytanie o wycenę hurtową";"Pedido de orçamento por grosso";"Toptan fiyat teklifi talebi"
"footer.collections";"Footer · Collecties";"true";"Collecties";"Collections";"Collections";"Kollektionen";"Colecciones";"Kolekcje";"Coleções";"Koleksiyonlar"
"footer.company";"Footer · Bedrijf";"true";"Bedrijf";"Société";"Company";"Unternehmen";"Empresa";"Firma";"Empresa";"Şirket"
"footer.visitShop";"Footer · Winkel bezoeken";"true";"Bezoek & shop";"Visiter & acheter";"Visit & shop";"Besuchen & einkaufen";"Visitar & comprar";"Odwiedź & kup";"Visitar & comprar";"Ziyaret & alışveriş"
"footer.ticaBrussels";"Footer · TICA Brussels";"true";"TICA Brussels";"TICA Brussels";"TICA Brussels";"TICA Brussels";"TICA Brussels";"TICA Brussels";"TICA Brussels";"TICA Brussels"
"footer.tradeTerms";"Footer · Handelsvoorwaarden";"true";"Handelsvoorwaarden";"Conditions commerciales";"Trade terms";"Handelsbedingungen";"Términos comerciales";"Warunki handlowe";"Termos comerciais";"Ticaret şartları"
"footer.privacy";"Footer · Privacybeleid";"true";"Privacy";"Confidentialité";"Privacy";"Datenschutz";"Privacidad";"Prywatność";"Privacidade";"Gizlilik"
"footer.shippingReturns";"Footer · Verzending en retouren";"true";"Verzenden en retourneren";"Expéditions et retours";"Shipping & returns";"Versand und Rücksendungen";"Envíos y devoluciones";"Wysyłka i zwroty";"Envios e devoluções";"Gönderim ve iadeler"
"footer.legalNotice";"Footer · Juridische informatie";"true";"Juridische mededeling";"Mentions légales";"Legal notice";"Rechtlicher Hinweis";"Aviso legal";"Nota prawna";"Aviso legal";"Yasal bildirim"
"footer.cookiePreferences";"Footer · Cookievoorkeuren";"true";"Cookievoorkeuren";"Préférences en matière de cookies";"Cookie preferences";"Cookie-Einstellungen";"Preferencias de cookies";"Preferencje dotyczące plików cookie";"Preferências de cookies";"Çerez tercihleri"
"footer.signature";"Footer · onderschrift";"true";"Ontworpen in Londen · Op voorraad in België";"Conçu à Londres · Stocké en Belgique";"Designed in London · Stocked in Belgium";"Entworfen in London · Auf Lager in Belgien";"Diseñado en Londres · Almacenado en Bélgica";"Zaprojektowano w Londynie · Dostępne z magazynu w Belgii";"Concebido em Londres · Em stock na Bélgica";"Londra'da Tasarlandı · Belçika'da Stoklu"
"footer.cookie.closeAria";"Footer · Cookievenster · toegankelijkheidslabel voor sluiten";"true";"Cookievoorkeuren sluiten";"Fermer les préférences en matière de cookies";"Close cookie preferences";"Cookie-Einstellungen schließen";"Cerrar preferencias de cookies";"Zamknij preferencje dotyczące plików cookie";"Fechar preferências de cookies";"Çerez tercihlerini kapat"
"footer.cookie.label";"Footer · Cookievenster · bovenlabel";"true";"Privacycontroles";"Contrôles de confidentialité";"Privacy controls";"Datenschutzkontrollen";"Controles de privacidad";"Kontrola prywatności";"Controlos de privacidade";"Gizlilik kontrolleri"
"footer.cookie.title";"Footer · Cookievenster · titel";"true";"Cookievoorkeuren";"Préférences en matière de cookies";"Cookie preferences";"Cookie-Einstellungen";"Preferencias de cookies";"Preferencje dotyczące plików cookie";"Preferências de cookies";"Çerez tercihleri"
"footer.cookie.description";"Footer · Cookievenster · beschrijving";"true";"Deze Enrosed-website gebruikt momenteel geen analyse- of advertentiecookies. Er wordt alleen gebruik gemaakt van de functionaliteit die nodig is om de website weer te geven en de door u gekozen links te openen.";"Ce site Web Enrosed n'utilise actuellement aucun cookie d'analyse ou publicitaire. Seules les fonctionnalités nécessaires à l'affichage du site Internet et à l'ouverture des liens que vous choisissez sont utilisées.";"This Enrosed website currently uses no analytics or advertising cookies. Only the functionality required to display the website and open the links you choose is used.";"Diese Enrosed-Website verwendet derzeit keine Analyse- oder Werbecookies. Es werden nur die Funktionen genutzt, die zum Anzeigen der Website und zum Öffnen der von Ihnen ausgewählten Links erforderlich sind.";"Este sitio web Enrosed actualmente no utiliza cookies de análisis ni publicidad. Solo se utiliza la funcionalidad requerida para mostrar el sitio web y abrir los enlaces que usted elija.";"Ta witryna internetowa Enrosed nie wykorzystuje obecnie żadnych plików cookie do celów analitycznych ani reklamowych. Wykorzystywane są wyłącznie funkcjonalności niezbędne do wyświetlenia strony i otwarcia wybranych przez Ciebie linków.";"Este website Enrosed não utiliza atualmente cookies analíticos ou publicitários. Apenas são utilizadas as funcionalidades necessárias para exibir o site e abrir os links que escolher.";"Bu Enrosed web sitesi şu anda hiçbir analiz veya reklam çerezi kullanmamaktadır. Yalnızca web sitesini görüntülemek ve seçtiğiniz bağlantıları açmak için gereken işlevler kullanılır."
"footer.cookie.useAria";"Footer · Cookievenster · toegankelijkheidslabel voor cookiegebruik";"true";"Cookiegebruik";"Utilisation des cookies";"Cookie use";"Verwendung von Cookies";"Uso de cookies";"Wykorzystanie plików cookie";"Utilização de cookies";"Çerez kullanımı"
"footer.cookie.necessaryTitle";"Footer · Cookievenster · titel noodzakelijke cookies";"true";"Noodzakelijk";"Nécessaire";"Necessary";"Erforderlich";"Necesario";"Konieczne";"Necessário";"Gerekli"
"footer.cookie.necessaryDescription";"Footer · Cookievenster · beschrijving noodzakelijke cookies";"true";"Vereist om deze website te laten werken";"Requis pour que ce site Web fonctionne";"Required for this website to work";"Erforderlich, damit diese Website funktioniert";"Requerido para que este sitio web funcione";"Wymagane do działania tej witryny";"Necessário para que este site funcione";"Bu web sitesinin çalışması için gereklidir"
"footer.cookie.alwaysOn";"Footer · Cookievenster · status altijd actief";"true";"Altijd aan";"Toujours actif";"Always on";"Immer an";"Siempre encendido";"Zawsze włączone";"Sempre ligado";"Her zaman açık"
"footer.cookie.analyticsTitle";"Footer · Cookievenster · titel analytics";"true";"Analyse/marketing";"Analyse / marketing";"Analytics / marketing";"Analytik / Marketing";"Análisis / marketing";"Analityka / marketing";"Análise/marketing";"Analitik / pazarlama"
"footer.cookie.analyticsDescription";"Footer · Cookievenster · beschrijving analytics";"true";"Geen bezoekersprofilerings- of advertentiecookies";"Pas de profilage des visiteurs ni de cookies publicitaires";"No visitor profiling or advertising cookies";"Keine Cookies zur Besucherprofilierung oder Werbung";"Sin perfiles de visitantes ni cookies publicitarias";"Brak plików cookie służących do profilowania odwiedzających i reklam";"Sem perfil de visitante ou cookies de publicidade";"Ziyaretçi profili oluşturma veya reklam çerezleri yok"
"footer.cookie.notUsed";"Footer · Cookievenster · status niet gebruikt";"true";"Niet gebruikt";"Non utilisé";"Not used";"Nicht verwendet";"No utilizado";"Nieużywane";"Não utilizado";"Kullanılmıyor"
"footer.cookie.scope";"Footer · Cookievenster · reikwijdte";"true";"Deze details beschrijven het cookiegebruik op deze Enrosed-website. Lees het privacybeleid voor meer informatie over hoe Enrosed omgaat met persoonlijke gegevens.";"Ces détails décrivent l'utilisation des cookies sur ce site Web Enrosed. Pour plus d'informations sur la façon dont Enrosed gère les données personnelles, lisez la politique de confidentialité.";"These details describe cookie use on this Enrosed website. For more information about how Enrosed handles personal data, read the privacy policy.";"Diese Details beschreiben die Verwendung von Cookies auf dieser Enrosed-Website. Weitere Informationen darüber, wie Enrosed mit personenbezogenen Daten umgeht, finden Sie in der Datenschutzerklärung.";"Estos detalles describen el uso de cookies en este sitio web Enrosed. Para obtener más información sobre cómo Enrosed maneja los datos personales, lea la política de privacidad.";"Te szczegóły opisują wykorzystanie plików cookie w tej witrynie internetowej Enrosed. Aby uzyskać więcej informacji o tym, jak Enrosed obchodzi się z danymi osobowymi, zapoznaj się z polityką prywatności.";"Estes detalhes descrevem a utilização de cookies neste website Enrosed. Para mais informações sobre a forma como a Enrosed trata os dados pessoais, leia a política de privacidade.";"Bu ayrıntılar, bu Enrosed web sitesindeki çerez kullanımını açıklamaktadır. Enrosed'in kişisel verileri nasıl işlediği hakkında daha fazla bilgi için gizlilik politikasını okuyun."
"footer.cookie.readPrivacy";"Footer · Cookievenster · privacylink";"true";"Lees het privacybeleid";"Lire la politique de confidentialité";"Read the privacy policy";"Lesen Sie die Datenschutzrichtlinie";"Leer la política de privacidad";"Przeczytaj politykę prywatności";"Ler política de privacidade";"Gizlilik politikasını okuyun"
"footer.cookie.close";"Footer · Cookievenster · sluitknop";"true";"Voorkeuren sluiten";"Fermer les préférences";"Close preferences";"Schließen Sie die Einstellungen";"Cerrar preferencias";"Zamknij preferencje";"Fechar preferências";"Tercihleri kapat"
"home.hero.kicker";"Homepage · Hero · bovenkop";"true";"Enrosed · Gepreserveerde rozen · Groothandel";"Enrosed · Roses préservées · Vente en gros";"Enrosed · Preserved Roses · Wholesale";"Enrosed · Konservierte Rosen · Großhandel";"Enrosed · Rosas preservadas · Venta al por mayor";"Enrosed · Róże stabilizowane · Sprzedaż hurtowa";"Enrosed · Rosas preservadas · Venda por grosso";"Enrosed · Korunmuş güller · Toptan satış"
"home.hero.title";"Homepage · Hero · titel";"true";"Groothandelsrozen.";"Roses en gros.";"Wholesale roses.";"Rosen für den Großhandel.";"Rosas al por mayor.";"Róże dla hurtowni.";"Rosas para grossistas.";"Toptan güller."
"home.hero.titleEmphasis";"Homepage · Hero · titelaccent";"true";"Klaar voor retail.";"Prêtes pour la vente.";"Ready for retail.";"Bereit für den Verkauf.";"Listas para vender.";"Gotowe do sprzedaży.";"Prontas para vender.";"Perakendeye hazır."
"home.hero.subtitle";"Homepage · Hero · ondertitel";"true";"Bestverkochte glazen schalen, gepreserveerde toonbankdisplays, stolpen en flowerboxes voor professionele inkopers. Vergelijk formaten, kleuren en presentatie en vraag vervolgens uw handelsvoorwaarden aan.";"Bols en verre best-sellers, présentoirs de comptoir avec roses préservées, cloches et flowerboxes pour les acheteurs professionnels. Comparez les formats, les couleurs et la présentation, puis demandez vos conditions commerciales.";"Bestselling glass bowls, preserved counter displays, domes and flowerboxes for professional buyers. Compare formats, colours and presentation, then request your trade terms.";"Meistverkaufte Glasschalen, Thekendisplays mit konservierten Rosen, Glasglocken und Flowerboxen für professionelle Einkäufer. Vergleichen Sie Formate, Farben und Präsentation und fragen Sie anschließend Ihre Handelskonditionen an.";"Cuencos de vidrio superventas, expositores de mostrador con rosas preservadas, cúpulas y flowerboxes para compradores profesionales. Compare formatos, colores y presentación y solicite después sus condiciones comerciales.";"Najlepiej sprzedające się szklane miseczki, ekspozytory na ladę ze stabilizowanymi różami, klosze i flowerboxy dla profesjonalnych kupców. Porównaj formaty, kolory i sposób prezentacji, a następnie poproś o warunki handlowe.";"Taças de vidro mais vendidas, expositores de balcão com rosas preservadas, cúpulas e flowerboxes para compradores profissionais. Compare formatos, cores e apresentação e peça depois as suas condições comerciais.";"Profesyonel alıcılar için en çok satan cam kaseler, korunmuş güllü tezgâh stantları, fanuslar ve flowerboxlar. Formatları, renkleri ve sunumu karşılaştırın, ardından ticari koşullarınızı isteyin."
"home.hero.collectionCta";"Homepage · Hero · collectieknop";"true";"Bekijk de collectie";"Voir la collection";"View the collection";"Sehen Sie sich die Sammlung an";"Ver la colección";"Zobacz kolekcję";"Ver coleção";"Koleksiyonu görüntüle"
"home.hero.quoteCta";"Homepage · Hero · offerteknop";"true";"Vraag een handelsofferte aan";"Demander un devis commercial";"Request a trade quote";"Fordern Sie ein Handelsangebot an";"Solicitar un presupuesto comercial";"Poproś o wycenę handlową";"Pedir proposta comercial";"Ticari fiyat teklifi isteyin"
"home.hero.quoteShort";"Homepage · Hero · korte offerteknop";"true";"Offerte aanvragen";"Demander un devis";"Request quote";"Angebot anfordern";"Solicitar presupuesto";"Zapytaj o wycenę";"Pedir orçamento";"Fiyat teklifi iste"
"home.hero.scrollHint";"Homepage · Hero · scrollhint";"true";"Scroll — til de stolp op";"Faites défiler — soulevez la cloche";"Scroll — lift the dome";"Scrollen Sie – heben Sie die Glaskuppel an";"Deslice — levante la cúpula";"Przewiń — unieś klosz";"Deslize para baixo — levante a cúpula";"Kaydırın — fanusu kaldırın"
"home.hero.imageAlt";"Homepage · Hero · alternatieve fototekst";"true";"Een enkele dieprode gepreserveerde roos onder een glazen stolp";"Une rose préservée rouge foncé sous une cloche en verre";"A single deep-red preserved rose displayed under a glass dome";"Eine einzelne tiefrote konservierte Rose unter einer Glaskuppel";"Una única rosa preservada roja oscura bajo una cúpula de cristal";"Pojedyncza ciemnoczerwona róża stabilizowana pod szklanym kloszem";"Uma única rosa preservada vermelho-escura sob uma cúpula de vidro";"Cam fanus altında tek bir koyu kırmızı korunmuş gül"
