key;nl;fr;en;de;es;pl;pt;tr
portalText;Deze offerte staat ook online. Daar kan u ze aanvaarden en digitaal tekenen, of een wijziging voorstellen die wij dan nakijken.;Cette offre est également disponible en ligne. Vous pouvez l'accepter et la signer électroniquement, ou proposer une modification que nous examinerons.;This quotation is also available online. There you can accept and sign it digitally, or propose a change for us to review.;Dieses Angebot steht auch online zur Verfügung. Dort können Sie es annehmen und digital unterzeichnen oder eine Änderung vorschlagen, die wir prüfen.;Este presupuesto también está disponible en línea. Allí puede aceptarlo y firmarlo digitalmente, o proponer un cambio que revisaremos.;Ta oferta jest dostępna również online. Można ją tam zaakceptować i podpisać cyfrowo albo zaproponować zmianę, którą sprawdzimy.;Este orçamento está também disponível online. Aí pode aceitá-lo e assiná-lo digitalmente, ou propor uma alteração que iremos analisar.;Bu teklif çevrimiçi olarak da mevcuttur. Orada teklifi kabul edip dijital olarak imzalayabilir veya inceleyeceğimiz bir değişiklik önerebilirsiniz.
footer;"Alle prijzen in euro. Leverdata gelden vanaf bevestiging en onder voorbehoud van tussentijdse verkoop; artikelen zonder voorraad worden op bestelling geproduceerd.";"Tous les prix en euros. Les délais de livraison courent à partir de la confirmation et sous réserve de vente entre-temps; les articles non en stock sont produits sur commande.";"All prices in euro. Delivery dates apply from confirmation and are subject to prior sale; items not in stock are produced to order.";"Alle Preise in Euro. Liefertermine gelten ab Bestätigung und unter Vorbehalt des Zwischenverkaufs; nicht vorrätige Artikel werden auf Bestellung gefertigt.";"Todos los precios en euros. Los plazos de entrega rigen desde la confirmación y salvo venta previa; los artículos sin existencias se producen bajo pedido.";"Wszystkie ceny w euro. Terminy dostawy obowiązują od potwierdzenia i z zastrzeżeniem wcześniejszej sprzedaży; artykuły niedostępne w magazynie produkowane są na zamówienie.";"Todos os preços em euros. Os prazos de entrega contam a partir da confirmação e salvo venda entretanto; os artigos sem stock são produzidos por encomenda.";"Tüm fiyatlar euro cinsindendir. Teslim tarihleri onaydan itibaren geçerlidir ve ara satış hakkı saklıdır; stokta bulunmayan ürünler siparişe göre üretilir."
validUntilSentence;Deze offerte is geldig tot %s.;Cette offre est valable jusqu'au %s.;This quotation is valid until %s.;Dieses Angebot ist gültig bis %s.;Este presupuesto es válido hasta el %s.;Niniejsza oferta jest ważna do %s.;Este orçamento é válido até %s.;Bu teklif %s tarihine kadar geçerlidir.
termsSentence;Op al onze offertes zijn onze algemene voorwaarden van toepassing.;Toutes nos offres sont soumises à nos conditions générales.;All our quotations are subject to our general terms and conditions.;Für alle unsere Angebote gelten unsere Allgemeinen Geschäftsbedingungen.;Todos nuestros presupuestos están sujetos a nuestras condiciones generales.;Wszystkie nasze oferty podlegają naszym ogólnym warunkom handlowym.;Todos os nossos orçamentos estão sujeitos às nossas condições gerais.;Tüm tekliflerimiz genel şartlarımıza tabidir.
invoiceFooter;Alle bedragen zijn uitgedrukt in euro. Vermeld bij betaling steeds het factuurnummer.;Tous les montants sont exprimés en euros. Veuillez toujours mentionner le numéro de facture lors du paiement.;All amounts are stated in euro. Always quote the invoice number with your payment.;Alle Beträge sind in Euro angegeben. Bitte geben Sie bei der Zahlung immer die Rechnungsnummer an.;Todos los importes se expresan en euros. Indique siempre el número de factura al realizar el pago.;Wszystkie kwoty są podane w euro. Przy płatności należy zawsze podać numer faktury.;Todos os valores são expressos em euros. Indique sempre o número da fatura no pagamento.;Tüm tutarlar avro cinsindendir. Ödeme sırasında daima fatura numarasını belirtin.
invoiceTermsSentence;Op al onze facturen zijn onze algemene voorwaarden van toepassing.;Toutes nos factures sont soumises à nos conditions générales.;All our invoices are subject to our general terms and conditions.;Für alle unsere Rechnungen gelten unsere Allgemeinen Geschäftsbedingungen.;Todas nuestras facturas están sujetas a nuestras condiciones generales.;Wszystkie nasze faktury podlegają naszym ogólnym warunkom handlowym.;Todas as nossas faturas estão sujeitas às nossas condições gerais.;Tüm faturalarımız genel şartlarımıza tabidir.
mailSubject;Offerte %s van Enrosed;Offre %s d'Enrosed;Quotation %s from Enrosed;Angebot %s von Enrosed;Presupuesto %s de Enrosed;Oferta %s od Enrosed;Orçamento %s da Enrosed;Enrosed %s numaralı teklif
mailSubjectTermsAdded;Levertermijn ingevuld - offerte %s van Enrosed;Délai de livraison précisé - offre %s d'Enrosed;Delivery date confirmed - quotation %s from Enrosed;Liefertermin ergänzt - Angebot %s von Enrosed;Plazo de entrega confirmado - presupuesto %s de Enrosed;Termin dostawy ustalony - oferta %s od Enrosed;Prazo de entrega confirmado - orçamento %s da Enrosed;Teslim süresi belirlendi - Enrosed %s numaralı teklif
mailGreeting;Beste;Bonjour;Dear;Guten Tag;Estimado/a;Szanowni Państwo;Caro(a);Sayın yetkili
mailIntro;In bijlage vindt u onze offerte %s.;Vous trouverez en pièce jointe notre offre %s.;Please find our quotation %s attached.;Anbei finden Sie unser Angebot %s.;Adjunto encontrará nuestro presupuesto %s.;W załączeniu przesyłamy naszą ofertę %s.;Em anexo encontra o nosso orçamento %s.;Ekte %s numaralı teklifimizi bulabilirsiniz.
mailIntroUpdated;In bijlage vindt u de aangepaste offerte %s.;Vous trouverez en pièce jointe l'offre %s adaptée.;Please find the amended quotation %s attached.;Anbei finden Sie das angepasste Angebot %s.;Adjunto encontrará el presupuesto %s actualizado.;W załączeniu przesyłamy zaktualizowaną ofertę %s.;Em anexo encontra o orçamento %s atualizado.;Ekte güncellenmiş %s numaralı teklifi bulabilirsiniz.
mailTermsAddedTitle;Levertermijn ingevuld;Délai de livraison précisé;Delivery date confirmed;Liefertermin ergänzt;Plazo de entrega confirmado;Termin dostawy ustalony;Prazo de entrega confirmado;Teslim süresi belirlendi
mailTermsAddedText;U koos artikelen die niet op voorraad lagen. Wij hebben ze nagekeken en voor elk artikel een leverdatum of leverweek vastgelegd. Ze staan hieronder en op de bijgevoegde offerte, die u nu kan tekenen.;Vous aviez choisi des articles qui n'étaient pas en stock. Nous les avons vérifiés et fixé une date ou une semaine de livraison pour chacun. Vous les trouvez ci-dessous et sur l'offre jointe, que vous pouvez maintenant signer.;You selected items that were not in stock. We have checked them and set a delivery date or week for each one. You will find them below and on the attached quotation, which you can now sign.;Sie hatten Artikel gewählt, die nicht vorrätig waren. Wir haben sie geprüft und für jeden Artikel ein Lieferdatum oder eine Lieferwoche festgelegt. Sie finden diese unten und auf dem beigefügten Angebot, das Sie nun unterzeichnen können.;Eligió artículos que no estaban en stock. Los hemos revisado y fijado una fecha o semana de entrega para cada uno. Los encontrará a continuación y en el presupuesto adjunto, que ya puede firmar.;Wybrali Państwo artykuły niedostępne w magazynie. Sprawdziliśmy je i ustaliliśmy dla każdego datę lub tydzień dostawy. Znajdą je Państwo poniżej oraz w załączonej ofercie, którą można teraz podpisać.;Escolheu artigos que não estavam em stock. Verificámo-los e definimos uma data ou semana de entrega para cada um. Encontra-os abaixo e no orçamento em anexo, que já pode assinar.;"Stokta bulunmayan ürünler seçmiştiniz. Bunları inceledik ve her ürün için bir teslim tarihi veya haftası belirledik. Aşağıda ve ekteki teklifte yer alıyorlar; teklifi artık imzalayabilirsiniz."
mailDeliveryTitle;Levertermijn;Délai de livraison;Delivery;Liefertermin;Plazo de entrega;Termin dostawy;Prazo de entrega;Teslim süresi
mailDeliveryPerItem;Levertermijn per artikel;Délai de livraison par article;Delivery per item;Liefertermin je Artikel;Plazo de entrega por artículo;Termin dostawy dla każdego artykułu;Prazo de entrega por artigo;Ürün bazında teslim süresi
mailDeliveryPending;Voor de artikelen zonder termijn nemen wij contact op zodra we die kunnen bevestigen. U krijgt dan een aangepaste offerte in uw mailbox.;Pour les articles sans délai, nous vous recontactons dès que nous pouvons le confirmer. Vous recevrez alors une offre adaptée.;For the items without a date we will contact you as soon as we can confirm one. You will then receive an amended quotation.;Für die Artikel ohne Termin melden wir uns, sobald wir diesen bestätigen können. Sie erhalten dann ein angepasstes Angebot.;Para los artículos sin plazo le contactaremos en cuanto podamos confirmarlo. Recibirá entonces un presupuesto actualizado.;W sprawie artykułów bez terminu skontaktujemy się, gdy tylko będziemy mogli go potwierdzić. Otrzymają Państwo wtedy zaktualizowaną ofertę.;Para os artigos sem prazo entraremos em contacto assim que o possamos confirmar. Receberá então um orçamento atualizado.;Teslim süresi belirlenmemiş ürünler için, süreyi teyit edebildiğimiz anda sizinle iletişime geçeceğiz. Ardından güncellenmiş bir teklif alacaksınız.
mailFreightPending;De vrachtkosten worden nog bepaald. Zodra ze vastliggen sturen wij u een aangepaste offerte.;Les frais de transport restent à déterminer. Dès qu'ils seront fixés, nous vous enverrons une offre adaptée.;Freight charges are still to be determined. As soon as they are settled we will send you an amended quotation.;Die Frachtkosten werden noch ermittelt. Sobald sie feststehen, senden wir Ihnen ein angepasstes Angebot.;Los gastos de transporte están por determinar. En cuanto se fijen le enviaremos un presupuesto actualizado.;Koszty transportu są jeszcze do ustalenia. Gdy tylko zostaną ustalone, prześlemy Państwu zaktualizowaną ofertę.;Os custos de transporte estão ainda por determinar. Assim que estiverem definidos enviaremos um orçamento atualizado.;Navlun bedeli henüz belirlenmedi. Netleştiği anda size güncellenmiş bir teklif göndereceğiz.
mailButton;Offerte digitaal tekenen;Signer l'offre numériquement;Sign the quotation digitally;Angebot digital unterzeichnen;Firmar el presupuesto digitalmente;Podpisz ofertę cyfrowo;Assinar o orçamento digitalmente;Teklifi dijital olarak imzalayın
mailClosing;Met vriendelijke groeten;Cordialement;Kind regards;Mit freundlichen Grüßen;Un cordial saludo;Z poważaniem;Com os melhores cumprimentos;Saygılarımızla
portalYourQuote;Uw offerte;Votre offre;Your quotation;Ihr Angebot;Su presupuesto;Państwa oferta;O seu orçamento;Teklifiniz
portalStatusOpen;Ter beoordeling;En attente;Awaiting your response;Zur Prüfung;Pendiente de respuesta;Oczekuje na odpowiedź;A aguardar resposta;Yanıtınız bekleniyor
portalStatusAccepted;Aanvaard;Acceptée;Accepted;Angenommen;Aceptado;Zaakceptowana;Aceite;Kabul edildi
portalStatusRejected;Afgewezen;Refusée;Declined;Abgelehnt;Rechazado;Odrzucona;Recusado;Reddedildi
portalStatusRevision;Wijziging in behandeling;Modification en cours;Change under review;Änderung in Bearbeitung;Cambio en revisión;Zmiana w trakcie rozpatrywania;Alteração em análise;Değişiklik inceleniyor
portalAccept;Aanvaarden en tekenen;Accepter et signer;Accept and sign;Annehmen und unterzeichnen;Aceptar y firmar;Akceptuj i podpisz;Aceitar e assinar;Kabul et ve imzala
portalPropose;Wijziging voorstellen;Proposer une modification;Propose a change;Änderung vorschlagen;Proponer un cambio;Zaproponuj zmianę;Propor uma alteração;Değişiklik öner
portalReject;Afwijzen;Refuser;Decline;Ablehnen;Rechazar;Odrzuć;Recusar;Reddet
portalDownload;PDF downloaden;Télécharger le PDF;Download PDF;PDF herunterladen;Descargar PDF;Pobierz PDF;Descarregar PDF;PDF indir
portalDeliverableFrom;Leverbaar vanaf;Livrable à partir du;Available from;Lieferbar ab;Disponible a partir del;Dostępne od;Disponível a partir de;Şu tarihten itibaren teslim edilebilir
portalDeliveryInWeek;Levering in;Livraison en;Delivery in;Lieferung in;Entrega en;Dostawa w;Entrega na;Teslimat
portalTermToBeDetermined;Levertermijn nog te bepalen;Délai de livraison à déterminer;Delivery date to be determined;Liefertermin noch offen;Plazo de entrega por determinar;Termin dostawy do ustalenia;Prazo de entrega a determinar;Teslim süresi belirlenecek
portalPerPiece;per stuk;par pièce;per piece;pro Stück;por unidad;za sztukę;por unidade;adet başına
portalPieces;stuks;pièces;pieces;Stück;unidades;szt.;unidades;adet
portalTermsAddedTitle;Levertermijn toegevoegd;Délai de livraison ajouté;Delivery date added;Liefertermin ergänzt;Plazo de entrega añadido;Termin dostawy dodany;Prazo de entrega adicionado;Teslim süresi eklendi
portalTermsAddedText;"Wij hebben voor alle artikelen een leverdatum of leverweek ingevuld. U vindt ze hieronder per regel terug; daarna kan u tekenen.";"Nous avons fixé une date ou une semaine de livraison pour chaque article. Vous les trouvez ci-dessous par ligne; vous pouvez ensuite signer.";"We have set a delivery date or week for every item. You will find them per line below; after that you can sign.";"Wir haben für jeden Artikel ein Lieferdatum oder eine Lieferwoche festgelegt. Sie finden diese unten je Position; danach können Sie unterzeichnen.";"Hemos fijado una fecha o semana de entrega para cada artículo. Los encontrará por línea a continuación; después puede firmar.";"Ustaliliśmy datę lub tydzień dostawy dla każdego artykułu. Znajdą je Państwo poniżej przy każdej pozycji; następnie można podpisać.";"Definimos uma data ou semana de entrega para cada artigo. Encontra-os abaixo por linha; depois pode assinar.";"Her ürün için bir teslim tarihi veya haftası belirledik. Aşağıda satır satır görebilirsiniz; ardından imzalayabilirsiniz."
portalTermsPendingTitle;Eén of meer artikelen liggen niet op voorraad;Un ou plusieurs articles ne sont pas en stock;One or more items are not in stock;Ein oder mehrere Artikel sind nicht vorrätig;Uno o más artículos no están en stock;Jeden lub więcej artykułów nie jest dostępnych w magazynie;Um ou mais artigos não estão em stock;Bir veya daha fazla ürün stokta yok
portalTermsPendingText;"Wij bekijken wanneer wij die kunnen leveren en sturen u deze offerte opnieuw met de levertermijn erbij. U hoeft nu niets te doen; u mag uiteraard al tekenen of een wijziging voorstellen.";"Nous vérifions quand nous pouvons les livrer et vous renvoyons cette offre avec le délai. Vous n'avez rien à faire pour l'instant; vous pouvez bien sûr déjà signer ou proposer une modification.";"We are checking when we can deliver them and will send you this quotation again with the delivery date. You do not need to do anything now; you may of course already sign or propose a change.";"Wir prüfen, wann wir liefern können, und senden Ihnen dieses Angebot erneut mit dem Liefertermin. Sie müssen jetzt nichts tun; Sie können selbstverständlich bereits unterzeichnen oder eine Änderung vorschlagen.";"Estamos comprobando cuándo podemos entregarlos y le enviaremos este presupuesto de nuevo con el plazo de entrega. No tiene que hacer nada por ahora; por supuesto puede firmar ya o proponer un cambio.";"Sprawdzamy, kiedy możemy je dostarczyć, i prześlemy tę ofertę ponownie wraz z terminem dostawy. Na razie nie trzeba nic robić; oczywiście można już podpisać lub zaproponować zmianę.";"Estamos a verificar quando os podemos entregar e enviaremos este orçamento novamente com o prazo de entrega. Não precisa de fazer nada por agora; pode naturalmente assinar já ou propor uma alteração.";"Bunları ne zaman teslim edebileceğimizi inceliyoruz ve bu teklifi teslim süresiyle birlikte size yeniden göndereceğiz. Şimdilik bir şey yapmanıza gerek yok; dilerseniz şimdiden imzalayabilir veya değişiklik önerebilirsiniz."
portalFreightPendingTitle;Vrachtkosten worden nog bepaald;Frais de transport à déterminer;Freight charges still to be determined;Frachtkosten werden noch ermittelt;Gastos de transporte por determinar;Koszty transportu do ustalenia;Custos de transporte a determinar;Navlun bedeli henüz belirlenmedi
portalFreightPendingText;Het bedrag hieronder is nog zonder vracht. Zodra wij de vrachtkosten kennen sturen wij u een aangepaste offerte.;Le montant ci-dessous est encore hors transport. Dès que nous connaissons les frais, nous vous envoyons une offre adaptée.;The amount below is still excluding freight. As soon as we know the charges we will send you an amended quotation.;Der Betrag unten versteht sich noch ohne Fracht. Sobald wir die Kosten kennen, senden wir Ihnen ein angepasstes Angebot.;El importe siguiente aún no incluye el transporte. En cuanto conozcamos los gastos le enviaremos un presupuesto actualizado.;Poniższa kwota nie zawiera jeszcze transportu. Gdy poznamy koszty, prześlemy Państwu zaktualizowaną ofertę.;O valor abaixo ainda não inclui transporte. Assim que soubermos os custos enviaremos um orçamento atualizado.;Aşağıdaki tutara navlun dahil değildir. Bedeli öğrendiğimiz anda size güncellenmiş bir teklif göndereceğiz.
portalAddItem;Artikel bijbestellen;Ajouter un article;Add an item;Artikel hinzufügen;Añadir un artículo;Dodaj artykuł;Adicionar um artigo;Ürün ekle
portalSearch;Zoek in ons assortiment…;Rechercher dans notre gamme…;Search our range…;In unserem Sortiment suchen…;Buscar en nuestra gama…;Szukaj w naszym asortymencie…;Pesquisar na nossa gama…;Ürün gamımızda arayın…
portalYourName;Uw naam;Votre nom;Your name;Ihr Name;Su nombre;Imię i nazwisko;O seu nome;Adınız
portalComment;Toelichting;Commentaire;Comment;Anmerkung;Comentario;Uwagi;Comentário;Açıklama
portalCancel;Annuleren;Annuler;Cancel;Abbrechen;Cancelar;Anuluj;Cancelar;İptal
portalSend;Voorstel versturen;Envoyer la proposition;Send proposal;Vorschlag senden;Enviar la propuesta;Wyślij propozycję;Enviar a proposta;Öneriyi gönder
portalAdd;Toevoegen;Ajouter;Add;Hinzufügen;Añadir;Dodaj;Adicionar;Ekle
portalInStock;op voorraad;en stock;in stock;auf Lager;en stock;w magazynie;em stock;stokta
portalOutOfStock;op bestelling;sur commande;made to order;auf Bestellung;bajo pedido;na zamówienie;por encomenda;siparişe göre
portalPerBox;per doos;par carton;per carton;pro Karton;por caja;w kartonie;por caixa;koli başına
portalRoundingNotice;Wordt zo;Sera arrondi à;Will be rounded to;Wird aufgerundet auf;Se redondeará a;Zostanie zaokrąglone do;Será arredondado para;Şu değere yuvarlanacak:
catalogCarton;omdoos;carton maître;master carton;Umkarton;caja máster;karton zbiorczy;caixa master;ana koli
productDimensions;Productafmeting;Dimensions du produit;Product dimensions;Produktmaße;Dimensiones del producto;Wymiary produktu;Dimensões do produto;Ürün ölçüleri
giftPackaging;Geschenkverpakking;Emballage cadeau;Gift packaging;Geschenkverpackung;Embalaje de regalo;Opakowanie prezentowe;Embalagem de presente;Hediye ambalajı
displayPackaging;Display;Présentoir;Display;Display;Expositor;Ekspozytor;Expositor;Stand
catalogTitle;Productcatalogus;Catalogue de produits;Product catalogue;Produktkatalog;Catálogo de productos;Katalog produktów;Catálogo de produtos;Ürün kataloğu
catalogItems;artikel(en);article(s);item(s);Artikel;artículo(s);artykuł(y);artigo(s);ürün
catalogFooter;"Prijzen per stuk in euro, exclusief BTW en vracht, onder voorbehoud van wijziging. Artikelen zonder voorraad worden op bestelling geproduceerd; de levertermijn spreken we samen af.";"Prix unitaires en euros, hors TVA et transport, sous réserve de modification. Les articles non en stock sont produits sur commande; le délai de livraison est convenu ensemble.";"Prices per piece in euro, excluding VAT and freight, subject to change. Items not in stock are produced to order; the delivery time is agreed together.";"Stückpreise in Euro, zuzüglich MwSt. und Fracht, Änderungen vorbehalten. Nicht vorrätige Artikel werden auf Bestellung gefertigt; den Liefertermin stimmen wir gemeinsam ab.";"Precios por unidad en euros, sin IVA ni transporte, sujetos a cambios. Los artículos sin stock se producen bajo pedido; el plazo de entrega se acuerda conjuntamente.";"Ceny za sztukę w euro, bez VAT i transportu, mogą ulec zmianie. Artykuły niedostępne w magazynie produkowane są na zamówienie; termin dostawy ustalamy wspólnie.";"Preços por unidade em euros, sem IVA nem transporte, sujeitos a alteração. Os artigos sem stock são produzidos por encomenda; o prazo de entrega é combinado em conjunto.";"Birim fiyatlar euro cinsinden olup KDV ve navlun hariçtir; değişiklik hakkı saklıdır. Stokta olmayan ürünler siparişe göre üretilir; teslim süresi birlikte kararlaştırılır."
portalTerms;Algemene voorwaarden;Conditions générales;Terms and conditions;Allgemeine Geschäftsbedingungen;Condiciones generales;Ogólne warunki;Condições gerais;Genel şartlar
portalProposalPending;Uw wijzigingsvoorstel ligt bij ons;Votre proposition est chez nous;Your proposed change is with us;Ihr Änderungsvorschlag liegt bei uns;Su propuesta está con nosotros;Państwa propozycja jest u nas;A sua proposta está connosco;Öneriniz bizde
portalProposalPendingText;Wij kijken uw voorstel na en sturen u een aangepaste offerte terug. U kan uw voorstel intrekken zolang wij het niet behandeld hebben.;Nous examinons votre proposition et vous renvoyons une offre adaptée. Vous pouvez retirer votre proposition tant que nous ne l'avons pas traitée.;We are reviewing your proposal and will send back an amended quotation. You can withdraw your proposal as long as we have not handled it.;Wir prüfen Ihren Vorschlag und senden Ihnen ein angepasstes Angebot zurück. Sie können Ihren Vorschlag zurückziehen, solange wir ihn nicht bearbeitet haben.;Estamos revisando su propuesta y le devolveremos un presupuesto actualizado. Puede retirar su propuesta mientras no la hayamos tramitado.;Sprawdzamy Państwa propozycję i odeślemy zaktualizowaną ofertę. Propozycję można wycofać, dopóki jej nie rozpatrzymy.;Estamos a analisar a sua proposta e devolveremos um orçamento atualizado. Pode retirar a sua proposta enquanto não a tivermos tratado.;Önerinizi inceliyoruz ve size güncellenmiş bir teklif göndereceğiz. Biz işleme almadığımız sürece önerinizi geri çekebilirsiniz.
portalWithdraw;Voorstel intrekken;Retirer la proposition;Withdraw proposal;Vorschlag zurückziehen;Retirar la propuesta;Wycofaj propozycję;Retirar a proposta;Öneriyi geri çek
portalWithdrawn;Uw voorstel is ingetrokken. U kan de offerte weer tekenen of een nieuw voorstel doen.;Votre proposition a été retirée. Vous pouvez à nouveau signer l'offre ou faire une nouvelle proposition.;Your proposal has been withdrawn. You can sign the quotation again or make a new proposal.;Ihr Vorschlag wurde zurückgezogen. Sie können das Angebot wieder unterzeichnen oder einen neuen Vorschlag machen.;Su propuesta ha sido retirada. Puede volver a firmar el presupuesto o hacer una nueva propuesta.;Państwa propozycja została wycofana. Można ponownie podpisać ofertę lub złożyć nową propozycję.;A sua proposta foi retirada. Pode assinar novamente o orçamento ou fazer uma nova proposta.;Öneriniz geri çekildi. Teklifi tekrar imzalayabilir veya yeni bir öneri yapabilirsiniz.
portalNotFound;Offerte niet gevonden;Offre introuvable;Quotation not found;Angebot nicht gefunden;Presupuesto no encontrado;Nie znaleziono oferty;Orçamento não encontrado;Teklif bulunamadı
portalNotFoundText;Deze link is niet meer geldig. Neem gerust contact op, dan sturen we een nieuwe.;Ce lien n'est plus valable. N'hésitez pas à nous contacter, nous vous en enverrons un nouveau.;This link is no longer valid. Do get in touch and we will send you a new one.;Dieser Link ist nicht mehr gültig. Melden Sie sich gerne, dann senden wir Ihnen einen neuen.;Este enlace ya no es válido. Póngase en contacto con nosotros y le enviaremos uno nuevo.;Ten link nie jest już aktywny. Prosimy o kontakt, prześlemy nowy.;Esta ligação já não é válida. Contacte-nos e enviaremos uma nova.;Bu bağlantı artık geçerli değil. Bizimle iletişime geçin, size yenisini gönderelim.
